en,zu,source
"Lifestyle and health apps can help with managing things like doctor's appointments, medications and workout schedules among others.","Ama-apps ezendlela yokuphila nokuphila angasiza ekuzihleleni ezintweni ezinjengezinsuku zokubona odokotela, ukuthatha imithi nezinhlelo zokuzivocavoca phakathi kokunye.",News Crawl 2019
"Her BMI also dropped from 35.8, which is considered obese, to a much healthier 25.5.","I-BMI yakhe nayo yehlile isuka ku-35.8 okukhomba ukukhuluphala, yaya kokuyimpilo 25.5.",News Crawl 2019
"During his unemployment, Hickenlooper traveled to California, saw a brewpub in Oakland and thought that concept would work in Denver.","Esikhathini sokungasebenzi kwakhe, u-Hickenlooper waya e-California, wabona indawo yokuphuza e-Oakland, wacabanga ukuthi leyo nto ingenzeka e-Denver.",News Crawl 2019
"This little park is the only place around here for people to go with their children, walk their dogs, just relax with nature,"" says Natalia Fedorova, an elected representative of the Losino-Ostrovsky district council.","Le paki encane iyona yodwa indawo lapha abantu abangaya kuyo nezingane zabo, bahambise izinja zabo, baziphumulele phakathi kwemvelo,” kusho u-Natalia Fedorova, oqokiwe waba ngomele umkhandlu wesifunda i-Losino-Otrovsky.",News Crawl 2019
"""On 7 February 2017 Colin died in a collision with a train, in circumstances we believe were avoidable.","“Ngomhlaka 7 kuNhlolanja washona u-Colin ekushayisaneni nesitimela, esimeni esikholelwa ngukuthi sasingagwemeka.",News Crawl 2019
She revealed her unlikely friendship with Allis was built during the many hours we don't see on camera - the sometimes freezing sleepless nights on the beach in Fiji.,Wadalula ubungani no-Allis ukuthi babakheke emahoreni amaningi esingawaboni kukhamera – amanye kuwo kwakungubusuku bokuqwasha obubanda saqhwa ogwini lwase-Fiji.,News Crawl 2019
Project gains traction,Umsebenzi uyasukuma.,News Crawl 2019
"""I thought we could use Hardik (Pandya) for the 20th (over), but wanted to back someone who has done it for us. (Lasith) Malinga has done it many times in the past, so not a very difficult decision.""","“Ngacabanga ukuthi singasebenzisa u-Hardik (Pandya) kwi-over ka-20, kodwa safuna ukusebenzisa othize oseke wasenzela. (Lasith) Malinga useke wakwenza kaningi ngaphambili, ngakho-ke akubanga yisinqumo esinzima.",News Crawl 2019
"THE MUM of Cristiano Ronaldo's accuser said it's ""not over"" after criminal charges against the Juventus star were dropped.",Unina kammangaleli ka-Cristiano Ronaldo uthe akukedluli kokuchithwa kwezimangalo zomdlali ophambili we-Juventus.,News Crawl 2019
"Mr Capener told the conference action was needed, saying: ""Despite the language being everywhere, it is also nowhere at the same time, because officially it barely exists.","UMnu. Capener watshela ingqungquthela ukuthi kukhona okumelwe kwenziwe, ethi: “Ngale kolimi ukuthi lukuyo yonke indawo, kanjalo futhi alukho ndawo ngesikhathi esifanayo, ngoba ngokomthetho alukho.",News Crawl 2019
"July 25 (UPI) -- Selma Blair is celebrating a ""banner day"" in her battle with multiple sclerosis.",Mhlaka 25 (UPI) – u-Selma Blair ugubha usuku lokuphakamisa ibhanela empini yakhe nesifo sokufelwa ngamalunga omzimba.,News Crawl 2019
He traveled with the team to Seattle on Saturday but dressed only in his jersey and a white baseball cap.,"Wahamba nethimu ukuya e-Seattle ngoMgqibelo, kodwa egqoke nje ijezi lakhe nekapisi le-baseball elimhlophe.",News Crawl 2019
"Rose pulled within two shots with a birdie on the par-5 10th, only to settle into a series of pars.",U-Rose wabasemashodini amabili ekushayeni ibanga elide lokucishe ayofika emgodini ku-par 5 wabangoka 10.,News Crawl 2019
"While other wine and alcohol makers have used QR codes and RFID emitters, the SVG believes that champagne makers are the first to use them in the capsules.","Ngenkathi abanye abenzi bewayini notshwala besebenzisa amakhodi QR no-RFID, i-SVG ikholelwa ekutheni abenzi beshampeni bangabokuqala ukuwasebenzisa emaphilisini.",News Crawl 2019
She accessorised the look with a block colour clutch in dark green and burgundy.,Wazakha ngombala oluhlaza noluthwaqasi.,News Crawl 2019
"Mr Johnson's leadership rival Jeremy Hunt said scrapping the tax would be ""terrible"" for young people.",Ubuholi bukaMnu. Johnson buqophisana nobuka-Jeremy. U-Hunt uthe ukwesula intela kungaba”kubi” entsheni.,News Crawl 2019
"The people of Britain deserve to have their say in a general election. Only a Labour government would end the Brexit crisis by taking the decision back to the people. We will give the people the final say on Brexit, with the choice of a credible leave offer.","Abantu baseBhrithani bafanelwe ukuba nezwi okhethweni jikelele. Nguhulumeni we-Labour ongaqeda inhlekelele ye-Brexit ngokubuyisela izinqumo kubantu. Sizonika abantu izwi lokugcina mayelana ne-Brexit, okade unokhetho lokunikezwa ilivu efanelelwelivi, .",News Crawl 2019
We believe he was trying to establish how much and what information the police had at that time.,Sikholelwa ukuthi wayezama ukusungula ukuthi lungakanani futhi yiluphi ulwazi analo amaphoyisa ngaleso sikhathi.,News Crawl 2019
"A dollar was costing 1,800 pounds or more on Friday compared to 1,740 on Thursday, two market sources said. The pegged rate is 1,507.5 pounds.","Idola lalibiza amaphawondi angu-1800 noma ngaphezulu ngoLwesihlanu ukuqhathaniswa no-1740 wangoLwesine, ngokusho kwemithombo yezimakethe emibili. Intela ebekiwe ngu-1507.5 wamaphawondi.",News Crawl 2019
"The 2008 Australian Open brought a first round defeat and he fared little better in the French, going out in the third round. Wimbledon, however, saw the Scot push past Richard Gasquet to reach the quarter-finals where he lost to eventual champion Rafael Nadal in straight sets.","Umqhudelwano i-2008 Australian Open ize nokwehlulwa emzulwisaneni wokuqala, waqhubeka kahle esiFrentshini ephuma kowesithathu umzulwisano. I-Wimbledon yabona kepha iSkoshi sedlula u-Richard Gasquet sifika kuma-quarter final lapho esehluleka khona ukunqoba umpetha u-Rafael Nadal kuma-straight sets.",News Crawl 2019
"Fighting back the tears, Becky said: 'We have had no help. We have full medical insurance with the Post Office, and I have spent three days calling them, but nobody will sign him off.","Elwa nezinyembezi, u-Becky uthe: ‘Asizange sithole lusizo. Sinawo umshwalense ogcwele wezokwelashwa oseposini, sengichithe izinsuku ezintathu ngibashayela ucingo, kodwa akekho ozomsayinela.",News Crawl 2019
We can do much better.,Singenza kangcono kakhulu.,News Crawl 2019
PS - They have been warned but they won't stop.,PS – Baxwayisiwe kodwa kabaphezi.,News Crawl 2019
"The only place Johnson's sellout Brexit deal should go is into the deep freeze, just like Johnson when he doesn't have the guts to face a reporter.","Okuyiyona yodwa okumelwe kuye kuyo idili yobumbuka ye-Brexit ka-Johnson kusefrijini ejulile, njengaye u-Johnson ngenkathi engenasibindi sokubhekana nentatheli.",News Crawl 2019
"When I advised Mr. Trump of my success, he actually reveled in it.","Ngenkathi ngeluleka uMnu. Trump ngempumelelo yami, wavele wahlala phezu kwayo.",News Crawl 2019
"Jones would also have a score to settle with the Wallabies, after he was fired by them in 2005.","U-Jones naye uzoziphindiselela ku-Wallabies, emva kokuba exoshiwe yibo ngo-2005.",News Crawl 2019
"The one constant in the Barcelona forward line for the best part of two decades, Messi is surely at a part of his career now where his best days are already recorded in the history books.","Lowo osehlala ekulayini ophambili ku-Barcelona iminyaka engama-20, u-Messi usesengxenyeni yomsebenzi wakhe lapho izinsuku zakhe ezibe zinhle seziqoshiwe ezincwadini zomlando.",News Crawl 2019
"83rd over: Pakistan 265-8 (Yasir 95, Abbas 23) Starc is making this new ball fly through the air at a rapid pace, and with no little swing.","I-over ka-83: i-Pakistan 265-8 (uYasir 95, u-Abbas 23). U-Starc ulijikijela lintweze emoyeni leli bhola elisha ngamanyathelo asheshayo, ngomshwibeko omkhulu.",News Crawl 2019
"""There, in the corner, we found this dead fox,"" Pascal Daniel, head of farming at the school, told the AFP.","“Laphaya ekhoneni, sithole le mpungushe efile,” U-Pascal Daniel oyinhloko kwezolimo esikoleni, utshele i-AFP.",News Crawl 2019
Barcelona president rules out January transfer swoop to bring Neymar back to Nou Camp - The Sun,Umengameli we-Barcelona wesula ushintshiselana ngo-January ukubuyisa u-Neymar kwi-Nou Camp – The Sun,News Crawl 2019
"When he urged the audience to ""do the right thing"" in the 2020 election, the crowd roared, assuming the speech was over, but Lee kept talking to a cut-off mic.","Ngenkathi egqugquzela abamlalele u”kwenza okufanele” okhethweni luka-2020, izihlwele zachwaza, zicabanga ukuthi inkulumo isiphelile, kodwa u-Lee waqhubeka ekhuluma kumayikhi ehixizayo.",News Crawl 2019
"""If you are being evacuated then please start heading to Chapel High School, Long Lane, ChapelEnLeFrith, High Peak, SK23 0TQ, where further direction will be given.""","“Uma ukhishwa, qalela ubheke e-Chapel High School eku-Long Lane, ku- ChapelEnLeFrith, High Peak, SK23 0TQ, lapho ozofika ulayelwe kabusha khona.”",News Crawl 2019
"A friend says Wakefield is 'deliriously in love', but Macpherson's spokesman was quick to shoot down rumours this week that they're engaged. The ring seen on her engagement finger was an 'Om' yoga ring, the spokesman added.","Ongumngani uthi u-Wakefield usothandweni, kodwa okhulumela u-Macpherson washesha wayicima inhlebo kuleli viki ukuthi sebethembisene. Yabonakala indandatho emunweni wakhe yiyindandatho ye-‘Om’ yoga ngokusho komkhulumelayo.",News Crawl 2019
"In February, an investigation by journalist Mohamed Abo-Elgheit added to the mounting evidence, showing that Canadian PGW sniper rifles and LAVs were being diverted to Yemeni forces aligned with the Saudi-UAE coalition in 2018.","ngoFebhruwari, uphenyo lwentatheli u-Mohamed Abo-Elgheit lwathasisela ebufakazini obandayo, lukhombisa ukuthi izibhamu  zokwelelesa ze-Canadian PGW ne-LAV ziphendulelwe emasosheni e-Yemeni ehambisana nombimbi lwe-Saudi-UAE ngo-2018.",News Crawl 2019
"Barty, who became Australia's first grand slam winner since 2011 at Roland Garros earlier this month, partnered Germany's Julia Goerges in a routine 6-3, 6-4 victory over Dalila Jakupovic and Kaitlyn Christian.","U-Barty, owaba ngowokuqala ukunqoba umqhudelwano e-Australia kusukela ngo-2011 e-Roland Garros ekuqaleni kwale nyanga, wamantana no-Julia Goerges waseJalimane emdlalweni 6-3, 6-4 benqoba u-Dalila Jakupovic no-Kaitlyn Christian.",News Crawl 2019
"They're all so switched on, it's a joy.","Basese, kuyintokozo.",News Crawl 2019
Maika Sivo 3.,Maika Sivo 3.,News Crawl 2019
"""We're working now on a landing controller, the idea being that I want to be able to pick up the robot and toss it, and just have it land on its feet,"" Katz says. ""Say you wanted to throw the robot into the window of a building and have it go explore inside the building. You could do that.""","“Sesilungisa okusetshenziswa ekuhlaleni, ngifuna ukuthi ngikwazi ukuphosa phezulu irobhothi bese lizibuyela lizimele,” kusho u-Katz. “Shono ukuthi ubufuna ukuphosa irobhothi ewindini lesakhiwo, bese lizihambela ngaphakathi lizicingela. Ungakwenza lokho.”",News Crawl 2019
It is understood that Kamara was stopped from seeing Mackintosh and allegedly became involved in an altercation with a member of security.,"Kuyaqondakala ukuthi u-Kamara wamiswa ekuboneni u-Mackintosh, kwabuye kwathiwa usekubambisaneni nelungu lezokuvikela.",News Crawl 2019
"For the British champion, the 200 metres freestyle starts tonight, with the 100m free and 200m individual medley following arduously in tandem mid-week, with at least a pair of relay outings on top.","Kumpetha waseBhrithani, ukubhukuda okukhululekile kwebanga lamamitha angama-200 kuqala ebusuku banamuhla, ngebanga lika-100 mitha okhululekile no-200 mitha womuntu ngayedwa oyinhlanganisela kulandela ngenkuthalo maphakathi neviki, nokumbadlwana ngaphezulu kokushiyelana induku.",News Crawl 2019
"""There is the investigation that his daughter is conducting in the present day but there are several investigations that are happening at different points that he's conducting while he was alive, that she's conducting as she remembered it and that he's positioning it as it actually happened,"" Egoyan said.","“Kunophenyo olwenziwa yindodakazi yakhe kulezi zinsuku, kodwa kunolunye olusabalele uphenyo oluqhubekayo ezindaweni ezahlukene ayelwenza esaphila, elwenzayo ngenkathi ikhumbula elumisa ngendlela ngqo okwenzeka ngayo,” kusho u-Egoyan. ",News Crawl 2019
"Chisaira cited a recent resolution at the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) meeting, which said elephants from Africa should no longer be sold outside the continent.","U-Chisaira washo isinqumo samuva nje eNgqungqutheleni ye-International Trade in Endangered Species of Wild Fauna and Flora (CITES), esathi izindlovu zase-Afrika akusamelwe zidayiswe ngaphandle kwase-Afrika.",News Crawl 2019
Colm Cooper and Ger Brennan agree that Kerry will station Tommy Walsh on the edge of the square and hit him with high balls in Sunday's All-Ireland final against Dublin.,"U-Colm Cooper no-Ger Brennan bayavuma ukuthi u-Kerry uzobeka u-Tommy Walsh engcupheni, amshaye ngamabhola aphakeme emadlalweni wamanqamu we-All-Ireland wokubhekana ne-Dublin ngeSonto.",News Crawl 2019
It happens a lot more often than we'd like to imagine.,Kwenzeka njalo ngaphezu kwalokho ebesingathanda ukukucabanga.,News Crawl 2019
"While Brexit has acted as somewhat of a ""catalyst"" for the recent unrest, ""the tense political and social situation in the north far precedes Brexit - and the history is much too complicated to boil this new wave of violence down to any one factor,"" she said.","Ngenkathi i-Brexit ibenjengebhuloho lale mibhikisho yamuva, “ukushuba kwesimo sezepolitiki nesezenhlalo enyakatho kade sabakhona ingakabibikho i-Brexit – nomlando unxakanxaka ukubhekana naleli gagasi elisha lodlame,” usho njalo.",News Crawl 2019
"He said: ""The Conservatives have taken the view that to win this election, they need blue-collar votes.",Uthe: “Ama-Conservatives anombono wokuthi aluwine lolu khetho ngamavoti amsulwa.,News Crawl 2019
Attorneys for Johnson & Johnson says there's no need for a judge who ordered the drugmaker to pay $572 million to help clean up Oklahoma's opioid crisis to let several of the state's Republican leaders intervene in the case.,Abameli baka-Johnson & Johnson bathi akunasidingo sokuthi umahluleli owayalela umenzi wezidakamizwa ukukhokha u-$572 wezigidi ukuba asize inhlekelele yase-Oklahoma yezidakamizwa ukuvumela abambalwa abaholi be-Republican ukungenelela ecaleni.,News Crawl 2019
"Discerning harmonious conjunctions in the trivial and meaning in the mundane are specialties of Mr. Tillmans. And just as his images often seem as casual as snapshots, his exhibitions tend to seem, at first, to group images as haphazardly as an office corkboard. Neither impression is correct. He elaborately stages and composes his pictures.","Ukuqonda izihlanganisi ezivumelanayo nencazelo ezintweni ezingatheni yinto ayazi kahle u-Mnu. Tillmans. Futhi njengoba izithombe zakhe zivame ukubonakala njengezithombe nje ezivamile, izithombe zakhe ekuqaleni zibonakala njengeqoqo elingahlelekile lezithombe njengebhodi lehhovisi. Asikho esiyiqiniso. Uveza izigaba ngokuningiliziwe futhi akhe izithombe. ",News Crawl 2019
"The huevos rotos (potatoes, broken eggs and Iberico ham) from Malasana Farm and plates from La del Pulpo (octopus specialists) are delicious.","Ama-huevos rotos (amazambane, amaqanda nehemu ye-Iberico) avela e-Malasana Farm namapuleti avela e-La del Pulpo (izazi ze-octopus) ehla esiphundu. ",News Crawl 2019
All of the kids were between 7 and 9 years old and students in one of four large urban public school districts.,Zonke izingane zaziphakathi kweminyaka engu-7 no-9 futhi zingabafundi kwesisodwa  sezikole ezine zomphakathi zesifunda ezinkulu.,News Crawl 2019
"And on Saturday, he warned that Trump will eventually turn on the entire country.","Futhi ngoMgqibelo, waxwayisa ngokuthi u-Trump uzoshintsha izwe lonke ekugcineni. ",News Crawl 2019
The money was used to help renovate tennis facilities.,Imali yasetshenziselwa ukusiza ukuvuselela indawo yethenisi.,News Crawl 2019
"But the common thread was a deep-seated mistrust of Facebook. Or, as Senator Sherrod Brown, Democrat of Ohio, put it:","Kodwa okuvamile ukungayithembi okukhulu i-Facebook. Noma, njengoba u-Senator Sherrod Brown, i-Democrat yase-Ohio, abeka:",News Crawl 2019
"A source said: ""Boris spilt red wine on the sofa at the end of a long day - and they had a row which then died down. Carrie grabbed the laptop because she was moving things due to the red wine spillage. There was an argument - but it was the sort that couples up and down the country have all the time without police racing around.","Umthombo uthi: ""U-Boris wachitha iwayini elibomvu kusofa ekupheleni kosuku olude – futhi baxabana kodwa ekugcineni kwadamba. U-Carrie wathatha i-laptop ngoba wayeqhelisa izinto ngenxa yewayini elibomvu elichithekile. Kwaba nengxabano – kodwa kwakuyinto abantu abathandanayo ezweni lonke abayenzayo ngaphandle kokuba amaphoyisa agijimele lapho.",News Crawl 2019
"""They seem to object to riding in single file,"" he said.","Wathi, ""Kubonakala  bemelene nokusebenzisa ifayela elilodwa."" ",News Crawl 2019
Eldorado has a market value of $4 billion.,I-Eldorado inenani lemakethe eliyizigidigidi ezingu-$4.,News Crawl 2019
This process can take months.,Le nqubo ingathatha izinyanga.,News Crawl 2019
"I loved that though because I used to say, ""Well, Dumbo's my favourite character.""","Ngikuthandile kodwa lokho ngoba ngangivame ukuthi, ""Ngiyazifela ngomdlali u-Dumbo.""",News Crawl 2019
"Forensic scientists were also examining the inside of Mr Thornton's home where he lived alone. Mr Thornton was described as Caucasian, about 180 centimetres tall with grey-white hair, blue eyes and a grey-white beard.","Ososayensi abaphenyayo babehlola nengaphakathi lomuzi kaMnu. Thornton lapho ayehlala khona yedwa. UMnu. Thornton wachazwa ngukuthi nguMlungu, cishe owubude obungu-180 centimetre enezinwele ezimpunga, amehlo aluhlaza okwesibhakabhaka nentshebe empunga.  ",News Crawl 2019
The Attorney General today published his eagerly awaited updated legal advice after Theresa May struck an 11th hour deal with the EU that she had hoped would get her 'last chance' Brexit deal over the line.,UMmeli-jikelele namuhla unyathelise iseluleko esingokomthetho ebesilindelwe ngabomvu ngemva kokuba u-Theresa May enze isivumelwano ngomzuzu wokugcina ne-EU ayenethemba lokuthi izomnikeza 'ithuba lokugcina' lesivumelwano se-Brexit esikhona.,News Crawl 2019
"As well as defying stereotypes, the group also want to raise awareness of mental health issues: particularly PTSD, which two members of the group suffer from.","Lifuna ukuqeda ukucabanga okungenabile, iqembu lifuna futhi ukuqwashisa abantu ngezinkinga zempilo yomqondo: ikakhuku i-PTSD, ephethe amalungu amabili eqembu.",News Crawl 2019
"Warren, Sanders and the moderate former Vice President Joe Biden are the three leading candidates seeking the Democratic nomination to take on President Donald Trump in the November 2020 General Election.","U-Warren, u-Sanders nowayekade eyiSekela Likamongameli elinokulinganisela u-Joe Biden bangabakhethwa abathathu abaholayo abafisa ukukhethwa eqenjini le-Democratic ukuncintisana noMongameli u-Donald Trump okhethweni lukaZwelonke lwango-2020.",News Crawl 2019
"""Whatever our views on Brexit and party politics, we are united in the belief that it is fundamentally wrong that so many millions of people whose lives will be deeply affected by developments at Westminster are currently denied a vote.""","""Kungakhathaliseki ukuthi imibono yethu iyini nge-Brexit nezombusazwe zeqembu, simunye enkolelweni yokuthi ngokuyisisekelo akulungile ukuthi kunabantu abayizigidi abazothinteka abangakwazi ukuvota manje ngenxa yokwenzeka e-Westminster.""",News Crawl 2019
"Leptin helps regulate appetite and feelings of fullness, while the presence of ghrelin makes you feel hungry, according to Healthline.","I-leptin isiza ekulawuleni uthando lokudla nokuzizwa usuthi, kanti ukuba khona kwe-ghrelin kukwenza uzizwe ulambile, ngokusho kwe- Healthline.",News Crawl 2019
"While he understood the kind of death his cancer would likely give him, he chose not to sign a DNR.","Yize ayeqonda uhlobo lokufa umdlavuza wakhe ongase ukudale, wakhetha ukungayisayini i-DNR.",News Crawl 2019
"""The steers are over trained,"" said Alberto Buitrago, who has been taking part since 2002. ""They block off the bulls via an arrow formation and keep the bulls away from the runners ... we're losing all the essence of the bull run.""","""Abanqandi bezinkunzi baqeqeshwe ngokweqile,"" kusho u-Alberto Buitrago, obelokhu ebamba iqhaza kusukela ngo-2002. ""Bavalela izinkunzi ngokwakheke njengomcibisholo futhi bavimbela izinkunzi kubantu abagijimayo ... sesilahlekelwa yinjongo yokugijima kwezinkunzi.""",News Crawl 2019
"However, their romance hit its"" first rocky patch during Khloe's pregnancy, when Tristan was caught on video kissing model Lani Blair at a bar in New York in April last year.","Nokho, uthando lwabo ""lwaphazamiseka okokuqala ngesikhathi u-Khloe ekhulelwe, lapho u-Tristan ebanjwa kuvidiyo eqabula intombi emodelayo u-Lani Blair endaweni yotshwala e-New York ngo-April ngonyaka odlule.",News Crawl 2019
"""That was definitely a big part of our conversation, face to face,"" Padres general manager A.J. Preller said.","""Yileyo impela indaba eyaba nkulu engxoxweni yethu, ubuso nobuso,"" kwasho umphathi-jikelele u-Padres A.J. Preller.",News Crawl 2019
Min was not alone in his criticism of Kim. South Korean commenters online had been suggesting the first lady's choice of jewelry resembled the anti-THAAD pins of activist groups.,U-Min kwakungeyena yedwa owagxeka u-Kim. Abaphawuli base-South Korea ku-inthanethi bebelokhu bephakamisa ubucwebe obakhethwa inkosikasi kamongameli obufana nezipeletu zeqembu eliphikisana ne-THAAD.,News Crawl 2019
Returns from an injury lay-off so entitled to improve for the run today.,Ukubuya ngemva kokulimala kuthuthukise ukugijima namuhla.,News Crawl 2019
The 38-year-old Joe Kennedy will face 73-year-old incumbent Sen. Edward Markey in next year's Democratic primary.,U-Joe Kennedy oneminyaka engu-38 uzobhekana nebambela elineminyaka engu-73 u-Sen. Edward Markey okhethweni lwezikhundla ku-Democratic ngonyaka ozayo.,News Crawl 2019
"The best advice I can give you, always find some time for yourself,"" said Jay-Z.","Iseluleko esihle kakhulu engingakunika sona, ukuthi uzinike isikhathi sakho,"" kusho u-Jay-Z.",News Crawl 2019
10 with $3 million.,u-10 one-$3 million.,News Crawl 2019
I will go home now and if he has said I've played bad I don't really listen to anyone else except my dad because he has always guided me in the right way.,Ngizoya ekhaya manje futhi uma ethi ngidlale kabi angilaleli omunye umuntu mina ngaphandle kukababa ngoba selokhu kwathi nhlo ungiqondisa ngendlela efanele.,News Crawl 2019
"Nadine Coyle, 34, later admitted: ""I do feel sorry for Cliff as there was high hopes for a phone call and chocolate.","U-Nadine Coyle, ona-34, kamuva wavuma: ""Ngiyamzwela u-Cliff ngoba kade emaningi amathemba okuthola ukushayelwa ucingo noshokoledi.",News Crawl 2019
"They have won cases in states including California, Ohio, Michigan, Mississippi and New Mexico.","Bawine amacala ezifundeni ezihlanganisa i-California, i-Ohio, i-Michigan, i-Mississippi ne-New Mexico.",News Crawl 2019
An arrest report obtained by some news outlets sheds light on his arrest and his interviews while in police custody.,Umbiko wokuboshwa otholwe abanye bezindaba usinika impendulo ngokuboshwa kwakhe nezingxoxo zakhe ngesikhathi esesitokisini samaphoyisa.,News Crawl 2019
"Built in 1729, with a stable and school room added a little later. It is close to Pardshaw Crag, where Quakers first met for worship in the open air in the mid-17th century. The meeting house still has its original moveable wooden shuttered partition, door and benches.","Yakhiwa ngo-1729, futhi isitebele negumbi lesikole kwanezelwa kamuva. Iseduze ne-Pardshaw Crag, lapho ama-Quaker ayehlangana khona kuqala ukuze akhulekele endaweni eyisiganga phakathi nekhulu leminyaka le-17. Indlu yokuhlangana isenesihenqo sokhuni okwazi ukusisusa, umnyango namabhentshi. ",News Crawl 2019
"He said: ""We can confirm that final settlement of £512,250 has been made to Mr Salmond for legal costs arising from his petition for judicial review.""","Wathi: ""Singaqinisekisa ukuthi isamba okuvunyelwane ngaso esingu- £512,250 sikhokhelwe uMnu. Salmond ngezindleko zomthetho ezidaleke ngenxa yokufaka kwakhe isicelo ukuba kubuyekezwe isahlulelo.""",News Crawl 2019
"""We have a day off tomorrow and then we train on Tuesday and try to do as much preparation for the game to try and get our tactical side of the game as good as we can get it,"" said the former England manager.","""Asisebenzi kusasa bese sigibela isitimela ngoLwesibili futhi sizozama ukwenza okuningi ukulungiselela umdlalo ukuze sizame ukuthola iqhinga elikahle lomdlalo,"" kwasho owayekade engumphathi we-England.",News Crawl 2019
Baltimore starter Dylan Bundy blanked the Red Sox for the first five innings before Boston got to him for three runs in the sixth.,Ongumqalisi ku-Baltimore u-Dylan Bundy washaya i-Red Sox kuma-inning okuqala amahlanu ngaphambi kokuba u-Boston amfice ngama-run amathathu kwelesithupha.,News Crawl 2019
She heard about me from the dancers at the English National Ballet - she was patron.,Wezwa ngami kubadansi ku-English National Ballet - wayengumphathi.,News Crawl 2019
"And a user added: 'Let's get the baby blimp to follow him wherever he goes, as soon as he lands #YouAreNotWelcomeHere.'","Futhi umsebenzisi wanezela: ‘Masithole unodoli wengane ozomlandela nomaphi lapho eya khona, sizuka nje uma efika #AwamukelekileLapha.'",News Crawl 2019
"That's what British company Owlstone, Inc. is trying to prove. They've developed something they call a breath biopsy, where a patient breaths into a special device for 10 minutes to trap metabolism byproducts called volatile organic compounds, or VOCs. Those trapped VOCs are analyzed in the Owlstone lab, looking for subtle differences that forma a kind of cancer fingerprint.","Yilokho inkampani yaseBrithani i-Owlstone, Inc. ezama ukukufakazela. Basungule okuthile okubizwa ngokuthi ibhayopsi yokuphefumula, lapho isiguli siphefumulela kudivayisi ekhethekile imizuzu engu-10 ukuze kubanjwe okukhiqizwa ukugayeka kokudla okubizwa ngokuthi yi-volatile organic compounds, noma ama-VOC. La ma-VOC abambekile ahlaziywa elebhu yase-Owlstone, kubhekwe umehluko onganakekile odala uphawu lohlobo lomdlavuza.",News Crawl 2019
"But mistakes, including two missed penalties from Matt Toomua, and a lack of discipline allowed Sarries to turn the screw in the last 20 minutes.","Kodwa amaphutha, ahlanganisa ukungakwazi ukufaka amagoli amabili ka-Matt Toomua, nokungalawuleki kwenza ama-Sarries ukuba anqobe emizuzwini engu-20 yokugcina. ",News Crawl 2019
"But as a same-sex couple, there were considerable differences in wedding planning.","Kodwa njengezithandazi zobulili obufanayo, kwakunokungefani okukhulu ekuhleleni umshado. ",News Crawl 2019
"However, despite its clinical-looking packaging and usage directions, it applies essentially the same as any other lip balm.","Nokho, yize iphakethe libukeka lihlanzekile futhi lineziyalezo zokuthi kusetshenziswa kanjani, kuyafana nje ngendlela okusetshenziswa ngayo nanoma yini yokugcoba umlomo.",News Crawl 2019
"He also worked at Ronald Reagan UCLA Medical Center, which is where the Los Angeles-area woman saw him.","Wasebenza nase-Ronald Reagan UCLA Medical Center, lapho abesifazane bendawo yase-Los Angeles-bambona khona. ",News Crawl 2019
"The Tidy Towns adjudicators are going to have to hit the road again, after it emerged that six towns around the country were omitted from this year's competition due to an apparent computer glitch.","Abahluleli base-Tidy Towns kuzodingeka bangene endleleni futhi, ngemva kokuba kuvele ukuthi amadolobha ayisithupha ezweni ayekhishiwe kulo mncintiswano walo nyaka ngenxa yephutha elithile lekhompyutha. ",News Crawl 2019
"""While we do see plausible trades for all 5 of our stocks, we struggle to identify catalysts for some, while others aren't particularly attractive from a valuation perspective,"" said Sacconaghi, rated consistently the No.1 Apple analyst by Institutional Investor magazine.","""Yize sibona ukuhweba okuhle kwezitokwe zethu zonke ezingu-5, sinenkinga yokubona izixazululo ngezinye, futhi ezinye azikhangi kangako uma uhlaziya,"" kwasho u- Sacconaghi, umhlaziyi ohamba phambili we-Apple owakhethwa umagazini i-Institutional Investor.",News Crawl 2019
"Shellfish collected by children are most easily identified by variety and size, Keegan said. Child foragers tend to be generalists, meaning that they're more likely to collect small shells indiscriminately. This research suggests that small, easy to transport and low-yield mollusks found in high amounts on a site indicate the presence of child foragers, he said.","U-Keegan wathi izimbaza eziqoqwe yizingane zibonakala kalula ngokungefani nangobukhulu. Abaqoqi abayizingane bavame ukwenza okufanayo, okusho ukuthi maningi amathuba okuba baqoqe amagobolondo amancane ngokungakhethi. Lolu cwaningo lubonisa ukuthi izilwane ama-mollusk amancane, okulula ukuwathwala nangemaningi atholakala ngobuningi endaweni kubonisa ukuthi kwakunezingane ezaziqoqa. ",News Crawl 2019
"In July, however, the bank acknowledged that the allegations had damaged its reputation.","Nokho, ngo-July, ibhange lavuma ukuthi izinsolo zalimaza idumela lalo.",News Crawl 2019
"He wants opponents at close proximity so he can take them out the game with a pass, or use their presence to spin, wriggle away and eat up the ground with his ball carrying.","Ufuna aqhudelana nabo babe seduze kakhulu ukuze abakhiphe emdlalweni nge-pass, noma asebenzise ukuba khona kwabo ukujika, athubeleze agcine eziphonse phansi ephethe ibhola. ",News Crawl 2019
These are the safest airlines for 2019,Lezi yizindiza eziphephe kunazo zonke ngo-2019,News Crawl 2019
"The Liza-1 well began drilling on March 5, 2015.","Umgodi i-Liza-1 waqala ukugujwa ngo-March 5, 2015.",News Crawl 2019
